+---------------------+------------+------+------+
| upload_time         | visitor_id | xoff | w    |
| 2015-04-05 20:30:46 |         17 |   60 |  160 |
| 2015-04-05 20:30:49 |         17 |  100 |  140 |
| 2015-04-05 20:30:51 |         17 |  100 |  160 |
| 2015-04-05 20:30:53 |         17 |  100 |  160 |
| 2015-04-05 20:30:56 |         17 |  100 |  160 |
| 2015-04-05 20:30:58 |         17 |  100 |  160 |
| 2015-04-05 20:31:00 |         17 |   80 |  160 |
| 2015-04-05 20:31:03 |         17 |   80 |  160 |
| 2015-04-05 20:31:05 |         17 |   80 |  160 |
| 2015-04-05 20:31:07 |         17 |   80 |  160 |
| 2015-04-05 20:31:10 |         17 |   80 |  160 |
| 2015-04-05 20:31:12 |         17 |   80 |  140 |
| 2015-04-05 20:31:14 |         17 |   80 |  140 |
| 2015-04-05 20:31:16 |         17 |   80 |  160 |
| 2015-04-05 20:31:19 |         17 |   80 |  160 |
| 2015-04-05 20:31:21 |         17 |   80 |  140 |
| 2015-04-05 20:31:23 |         17 |   80 |  160 |
| 2015-04-05 20:31:26 |         17 |   80 |  160 |
| 2015-04-05 20:31:28 |         17 |   80 |  140 |
| 2015-04-05 20:31:30 |         17 |   80 |  140 |
| 2015-04-05 20:31:33 |         17 |   80 |  160 |
| 2015-04-05 20:31:35 |         17 |   80 |  160 |
| 2015-04-05 20:31:37 |         17 |   60 |  140 |
| 2015-04-05 20:31:40 |         17 |   20 |  120 |
| 2015-04-05 20:31:42 |         17 |   20 |  140 |
| 2015-04-05 20:31:44 |         17 |   20 |  120 |
| 2015-04-05 20:31:47 |         17 |    0 |  120 |
| 2015-04-05 20:31:49 |         17 |   20 |  140 |
| 2015-04-05 20:31:51 |         17 |   20 |  140 |
| 2015-04-05 20:31:54 |         17 |   20 |  120 |
| 2015-04-05 20:31:56 |         17 |    0 |  120 |
| 2015-04-05 20:31:58 |         17 |   20 |  120 |
| 2015-04-05 20:32:00 |         17 |    0 |  140 |
| 2015-04-05 20:32:03 |         17 |   20 |  140 |
| 2015-04-05 20:32:05 |         17 |   20 |  120 |
| 2015-04-05 20:32:07 |         17 |  200 |  120 |
| 2015-04-05 20:32:10 |         17 |   80 |  120 |
| 2015-04-05 20:32:12 |         17 |   80 |  120 |
| 2015-04-05 20:32:14 |         17 |   80 |  120 |
| 2015-04-05 20:32:17 |         17 |   80 |  120 |
| 2015-04-05 20:32:19 |         17 |   80 |  120 |
| 2015-04-05 20:32:21 |         17 |   60 |  120 |
| 2015-04-05 20:32:23 |         17 |   80 |  120 |
| 2015-04-05 20:32:26 |         17 |   60 |  120 |
| 2015-04-05 20:32:28 |         17 |   60 |  120 |
| 2015-04-05 20:32:30 |         17 |   60 |  120 |
| 2015-04-05 20:32:33 |         17 |   60 |  120 |
| 2015-04-05 20:32:35 |         17 |   60 |  120 |
| 2015-04-05 20:32:37 |         17 |   80 |  120 |
| 2015-04-05 20:32:40 |         17 |   80 |  120 |
| 2015-04-05 20:32:42 |         17 |   80 |  120 |
| 2015-04-05 20:32:47 |         17 |   80 |  120 |
| 2015-04-05 20:32:47 |         17 |   80 |  120 |
| 2015-04-05 20:32:49 |         17 |   80 |  120 |
| 2015-04-05 20:32:52 |         17 |   80 |  120 |
| 2015-04-05 20:32:54 |         17 |   80 |  120 |
| 2015-04-05 20:32:56 |         17 |   60 |  120 |
| 2015-04-05 20:32:58 |         17 |   60 |  120 |
| 2015-04-05 20:33:01 |         17 |   60 |  120 |
| 2015-04-05 20:33:03 |         17 |   60 |  120 |
| 2015-04-05 20:33:06 |         17 |   80 |  120 |
| 2015-04-05 20:33:08 |         17 |   60 |  120 |
| 2015-04-05 20:33:10 |         17 |   80 |  120 |
| 2015-04-05 20:33:13 |         17 |   80 |  120 |
| 2015-04-05 20:33:15 |         17 |   80 |  120 |
| 2015-04-05 20:33:17 |         17 |   80 |  120 |
| 2015-04-05 20:33:20 |         17 |   80 |  120 |
| 2015-04-05 20:33:22 |         17 |   60 |  120 |
| 2015-04-05 20:33:24 |         17 |   60 |  120 |
| 2015-04-05 20:37:34 |         18 |  100 |   40 |
| 2015-04-05 20:38:29 |         -1 |  520 |  100 |
| 2015-04-05 20:38:44 |         19 |  260 |  160 |
| 2015-04-05 20:38:46 |         -1 |  260 |  180 |
| 2015-04-05 20:38:49 |         -1 |  240 |  180 |
| 2015-04-05 20:38:51 |         -1 |  240 |  180 |
| 2015-04-05 20:39:05 |         19 |  260 |  140 |
| 2015-04-05 20:39:07 |         -1 |  380 |  180 |
| 2015-04-05 20:39:09 |         -1 |  380 |  180 |
| 2015-04-05 20:39:11 |         -1 |  380 |  180 |
| 2015-04-05 20:39:14 |         19 |  380 |  180 |
| 2015-04-05 20:40:09 |         -1 |  520 |  100 |
